Actual,DE,SHADE,CMA-ES,NRBO,BOA,HHO-Lite,WeightedAvg_Pred,IsDifficult
81.6398,80.4733,80.4619,80.6790,80.4619,80.3674,80.4619,80.4842,False
74.2875,74.8323,73.8571,73.3707,73.8571,73.6681,73.8571,73.9069,False
74.8818,74.6929,74.8420,74.7055,74.8420,74.8713,74.8420,74.7993,False
73.8092,73.3342,73.6514,73.5207,73.6514,73.6330,73.6514,73.5736,False
75.0204,74.8093,74.9147,74.8903,74.9147,75.0234,74.9147,74.9112,False
76.2115,76.1753,76.5486,76.3430,76.5486,75.9251,76.5486,76.3478,False
70.3398,69.9707,70.8771,69.9755,70.8771,70.5995,70.8771,70.5291,False
77.4857,77.9112,77.4464,77.8587,77.4464,77.5287,77.4464,77.6065,False
75.0464,74.7095,75.0427,74.8916,75.0427,74.8774,75.0427,74.9343,False
71.9726,71.4600,71.9375,71.7073,71.9375,71.8284,71.9375,71.8013,False
75.5399,75.6886,75.6630,75.6167,75.6630,75.7009,75.6630,75.6659,False
76.2207,76.2782,76.0911,76.2560,76.0911,76.2338,76.0911,76.1737,False
76.8391,76.9944,76.8910,76.9970,76.8910,76.7013,76.8910,76.8942,False
75.7643,75.5205,75.8737,75.6659,75.8737,75.3461,75.8737,75.6919,False
75.1249,75.0923,75.2477,75.0855,75.2477,75.0881,75.2477,75.1680,False
76.3690,77.0202,76.6746,76.8077,76.6746,76.7349,76.6746,76.7645,False
76.5839,76.9407,76.8758,76.8229,76.8758,76.5249,76.8758,76.8191,False
76.3783,76.7489,76.5888,76.5837,76.5888,76.3604,76.5888,76.5765,False
73.8990,73.6208,73.9882,73.6577,73.9882,73.8695,73.9882,73.8520,False
73.7524,73.9818,74.4045,73.7838,74.4045,73.9999,74.4045,74.1628,False
68.8641,70.3209,69.5161,70.5197,69.5161,69.5474,69.5161,69.8230,False
76.1654,76.1389,76.3600,76.5960,76.3600,75.9999,76.3600,76.3024,False
77.1070,77.3219,77.3857,77.5179,77.3857,77.8154,77.3857,77.4689,False
83.8185,82.9942,83.1014,83.2978,83.1014,83.3473,83.1014,83.1574,False
76.1654,75.9198,76.8609,76.4826,76.8609,76.2982,76.8609,76.5468,False
72.6294,75.0850,73.1669,75.6935,73.1669,72.2522,73.1669,73.7555,False
77.3198,77.0168,77.2586,77.4449,77.2586,76.9999,77.2586,77.2062,False
74.9529,76.8109,75.9857,76.1461,75.9857,76.2758,75.9857,76.1985,False
77.5543,79.6626,76.9626,77.7839,76.9626,77.3794,76.9626,77.6195,False
72.9514,73.3084,72.9131,73.5690,72.9131,72.4453,72.9131,73.0103,False
77.4955,77.0718,77.7800,77.1737,77.7800,77.5142,77.7800,77.5163,False
70.2655,70.0332,68.7194,70.9669,68.7194,70.2020,68.7194,69.5614,False
69.0144,70.9226,69.1655,70.3629,69.1655,68.6759,69.1655,69.5764,False
86.6877,87.3376,86.3952,85.3080,86.3952,87.5335,86.3952,86.5611,False
77.1070,76.9407,77.1231,77.1888,77.1231,77.0955,77.1231,77.0990,False
78.6400,82.9601,81.7309,82.1873,81.7309,80.3289,81.7309,81.7776,True
84.7415,86.2021,85.1001,85.5740,85.1001,84.6090,85.1001,85.2808,False
72.8278,73.2452,72.1789,73.4296,72.1789,72.4269,72.1789,72.6069,False
74.7443,75.1195,74.6409,75.3008,74.6409,74.4787,74.6409,74.8037,False
71.3273,72.9356,71.7783,71.8726,71.7783,71.2499,71.7783,71.8986,False
75.7148,77.1999,76.0347,76.3761,76.0347,76.7276,76.0347,76.4017,False
83.3544,80.9959,82.6240,83.5572,82.6240,83.2758,82.6240,82.6173,False
73.7443,73.7995,73.7252,73.9681,73.7252,73.5727,73.7252,73.7527,False
74.0716,74.1681,73.9584,74.1656,73.9584,73.9025,73.9584,74.0186,False
84.5121,84.8158,84.8243,83.8873,84.8243,83.5491,84.8243,84.4533,False
83.3544,84.1775,83.1425,83.8479,83.1425,83.0426,83.1425,83.4161,False
81.9884,82.1989,82.7366,82.3772,82.7366,82.5476,82.7366,82.5553,False
77.3198,77.3475,77.7066,77.4246,77.7066,76.8947,77.7066,77.4639,False
74.0933,73.9898,74.3239,73.8382,74.3239,73.4022,74.3239,74.0331,False
78.8230,79.1144,79.2048,78.8803,79.2048,78.7450,79.2048,79.0587,False
83.4936,84.7641,83.9049,84.7667,83.9049,84.0082,83.9049,84.2092,False
83.0807,83.2811,83.9675,83.3560,83.9675,83.8983,83.9675,83.7394,False
83.2082,83.3877,84.0433,83.8329,84.0433,84.2086,84.0433,83.9265,False
80.5588,79.4460,79.7520,78.9617,79.7520,79.8422,79.7520,79.5841,False
71.3185,68.2828,71.4673,72.0387,71.4673,72.2905,71.4673,71.1694,False
