Alkalinity,Ammonia,BOD,Chloride,Conductivity,DO,Phosphate,pH,Temp,Hardness,Colour,CCME_Values
22.000000,0.027000,1.200000,18.600000,356.000000,57.800000,0.011000,6.340000,10.300000,20.000000,130.000000,71.215257
6.000000,0.016000,1.700000,18.600000,356.000000,57.850000,0.006000,6.460000,4.400000,14.000000,100.000000,72.974674
12.000000,0.010000,1.000000,18.600000,356.000000,59.015000,0.005000,6.470000,7.400000,12.000000,90.000000,73.420421
14.000000,0.000000,0.700000,18.600000,356.000000,56.710000,0.004000,6.600000,10.700000,12.000000,25.000000,78.555839
10.000000,0.001000,0.800000,18.600000,356.000000,55.700000,0.008000,6.170000,13.800000,12.000000,100.000000,73.311671
8.000000,0.004000,0.800000,18.600000,356.000000,57.800000,0.008000,6.270000,11.000000,10.000000,100.000000,72.982438
13.000000,0.017000,1.900000,18.600000,356.000000,58.650000,0.005000,6.420000,1.800000,14.000000,35.000000,77.368458
15.000000,0.003000,1.400000,18.600000,356.000000,56.350000,0.003000,6.890000,8.500000,15.000000,30.000000,78.221994
10.000000,0.046000,1.100000,18.600000,356.000000,54.350000,0.003000,6.400000,15.000000,9.000000,150.000000,70.592611
12.000000,0.000000,1.100000,18.600000,356.000000,56.750000,0.005000,5.980000,14.200000,7.000000,110.000000,72.530326
11.000000,0.021000,1.600000,18.600000,356.000000,57.500000,0.007000,6.060000,2.400000,14.000000,75.000000,74.658896
14.000000,0.011000,1.300000,18.600000,356.000000,57.700000,0.005000,6.230000,4.100000,19.000000,65.000000,75.318068
19.000000,0.008000,0.700000,18.600000,356.000000,56.600000,0.004000,6.430000,11.500000,17.000000,45.000000,76.991779
14.000000,0.031000,0.900000,18.600000,356.000000,55.500000,0.004000,6.780000,14.700000,20.000000,60.000000,76.073547
17.000000,0.015000,2.400000,18.600000,356.000000,53.500000,0.007000,6.110000,12.400000,12.000000,200.000000,68.221587
14.000000,0.014000,1.100000,18.600000,356.000000,56.750000,0.011000,6.310000,9.200000,15.000000,120.000000,71.936046
20.000000,0.011000,0.600000,18.600000,356.000000,56.100000,0.006000,6.280000,6.900000,16.000000,90.000000,73.890815
10.000000,0.007000,0.800000,18.600000,356.000000,55.550000,0.006000,6.330000,8.200000,10.000000,80.000000,74.650374
15.000000,0.008000,0.600000,18.600000,356.000000,56.900000,0.002000,6.330000,9.900000,15.000000,55.000000,76.183831
9.000000,0.008000,1.200000,18.600000,356.000000,55.250000,0.005000,6.050000,14.500000,8.000000,180.000000,68.953992
14.000000,0.016000,0.600000,18.600000,356.000000,55.050000,0.010000,6.000000,11.600000,15.000000,50.000000,76.905770
9.000000,0.036000,0.500000,18.600000,356.000000,56.650000,0.007000,5.430000,7.100000,13.000000,110.000000,72.545457
9.000000,0.020000,0.400000,18.600000,356.000000,57.400000,0.005000,5.600000,5.300000,11.000000,70.000000,75.020361
127.000000,0.021000,1.200000,18.600000,356.000000,57.600000,0.009000,5.820000,4.400000,152.000000,96.000000,73.264255
11.000000,0.019000,0.800000,18.600000,356.000000,57.100000,0.010000,5.860000,4.500000,10.000000,101.000000,73.029090
127.000000,0.011000,0.700000,18.600000,356.000000,56.300000,0.002000,6.120000,8.400000,152.000000,71.000000,75.142390
